Diet,Phylum,Class,Abeomelomys spMW,Anisomys imitatorFR,Anisomys imitatorMW,Coccymys shawmayeri,Hydromys sp,Hyomys goliath,Leptomys ernstmayri,Lorentzimys highFR,Lorentzimys highMW,Lorentzimys lowFR,Lorentzimys lowMW,Lorentzimys midMW,Macruromys major,Mallomys cf_aroaensis,Mallomys hercules,Mallomys istapantap,Mallomys rothschildi,Melomys low,Melomys midFR,Microhydromys sp,Paramelomys platyopsBAI,Paramelomys platyopsFR,Paramelomys platyopsMW,Paramelomys platyopsWG,Paramelomys rubex_HighFR,Paramelomys rubex_HighMW,Paramelomys rubex_MidFR,Paramelomys rubex_MidMW,Pogonomys cf_sylvestris,Pogonomys loriae,Pogonomys spNorthEastFR,Pogonomys spNorthEastMW,Protochromys fellowsi,Pseudohydromys ellermani,Pseudohydromys fuscus,Rattus exulans,Rattus niobe,Rattus norvegicus,Rattus rattus,Rattus steini,Rattus verecundus,Uromys anak,Uromys cf_caudimaculatus,Uromys sp1
Plant,Streptophyta,Gnetopsida,0,0,0,0,0.001046572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.90E-05,0.000888917,0,0,0,0,9.97E-05,0,0,0,0,0,0,0,0.003831713,0,0,0,0,0,0,0,0
Plant,Streptophyta,Haplomitriopsida,0,0.001233156,0,0.000848359,0,0,0,0.000380014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000397798,0.000144202,0,3.38E-05,0,0,0,0,0,0,0.003985036,0,0.001992491,0,0,5.67E-05,0.000473183,0,0,0
Plant,Streptophyta,Jungermanniopsida,0.048147364,0.01260007,0.121581197,0.009275492,0,0.021125975,0.103504133,0.015392099,0.055325289,0.011203568,0.018313347,0,0,0,0.015718248,0.001021392,0.010885823,0.006888921,0.04752792,0,0,0.006762353,0.002144563,0,0.031964936,0.008301693,0.053306127,0.019489389,0.052124754,0.004987958,0.132293624,0.011360762,0.000308601,0.049199125,0.194713728,0.012501559,0.042749561,0,0.000416573,0.008486559,0.010871953,0,0.01055579,0
Plant,Streptophyta,Lycopodiopsida,0,0,0,0.099651742,0,0,0,0,0,0,0,0,0,0,0,0.002898236,0,0.000183482,0,0,0,0,0.039180123,0,0,0.000597841,0,0.0005016,0,0,0,0,0,0,0,0,0.000191906,0,0,0.000121324,0.000509095,0,0,0
Plant,Streptophyta,Magnoliopsida,0.727004023,0.551429566,0.23974359,0.773724341,0.462585034,0.30696767,0.298768432,0.529272754,0.559444496,0.335574835,0.884688912,0.192595821,0.942186627,0.898799099,0.955282844,0.916099942,0.975110775,0.640558453,0.153973928,0.128298526,0.826873385,0.441723844,0.849545775,0.797224248,0.688581495,0.389689947,0.61316733,0.803275549,0.901295933,0.927685309,0.733502784,0.951724406,0.000881718,0.089310108,0.166013338,0.780470347,0.274229824,0.530328325,0.815547262,0.548571434,0.093163626,0.977866473,0.479346206,0.498378657
Plant,Streptophyta,Marchantiopsida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002597826,0,0,0,0,0,0,0,0,0,9.16E-05,0,0,0,0,0,0,0,0,0,0,6.73E-05,0,0,0,6.34E-05,0,0,0
Plant,Streptophyta,Pinopsida,0.002701673,0.041817911,0,0.000215433,0,0.154477889,0.04483194,0.313831,0.007527146,0.506098519,0,0.004122462,0,0,0.004418881,0.005770722,0,0.089428092,0,0.205904341,0,0.236890059,0.001694125,0.014758248,0.050795869,0.069220907,0.011661083,0.003102226,0,0.000759968,0.026807121,0.002084798,0,0.05358748,0.011540338,0.015059082,0.00813266,0.164440735,0.004194038,0.007646893,0.000690411,0,0.057611378,0
Plant,Streptophyta,Polypodiopsida,0.010662714,0.009427676,0,0.078684939,0,0.481846897,0.004335501,0.001488643,0,0.000275401,0,0.002438015,0.001853074,0,0.000600391,0.018974431,0.001084376,0.007030703,0.00446268,0,0,0.007279111,0.008355025,0,0.011554313,0.002471355,0.00854167,0.009204631,0,0.000845598,0.001517384,0.000636558,0.000205734,0.021842685,0.052537411,0.011036012,0.009152109,0,0.005087849,0.005594862,0.010953282,0,0.011738236,0
Plant,Streptophyta,Polytrichopsida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10E-05,0,0,0,0,0,0,0,0,0,0,0.000163379,0,0,0,0,0,0,0
Plant,Streptophyta,Zygnemophyceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152824,0.000102095,0,0,0,0,0,0,0
